Team_Name,Team,Wins,Losses,Minutes,Points,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Rebounds,OffensiveRebounds,DefensiveRebounds,Assists,Blocks,Steals,Turnovers,Fouls
Los Angeles Lakers,LAL,35,47,22423,9987.5,8169.6,3761.9,51.8,5482.9,2835.5,58.3,2686.8,926.4,38.9,2152.6,1537.2,80.5,4281.5,986.1,3295.3,2195.4,437.3,714.5,1416.6,1956.5
New York Knicks,NYK,29,53,22347,9653.9,8102,3757.4,52.3,5943.8,2998.9,56.9,2158.2,758.5,39.6,1755.9,1380.6,88.6,4068.5,967,3101.5,2154.8,474.5,622.1,1313,1895.6
Brooklyn Nets,BKN,28,54,22373,9851.1,8016.4,3534.3,49.7,4719.9,2361.1,56.4,3296.5,1173.2,40.1,2085,1609.4,87,4104.5,891.5,3213.1,2186.4,439.5,578.2,1316.3,1901.2
Sacramento Kings,SAC,27,55,22237,9133.2,7958.9,3582.7,50.7,5740.9,2751,54,2217.9,831.7,42.3,1542.9,1136,82.9,3778.8,876.8,2902,1991.4,382.1,724.7,1220.5,1844.9
Chicago Bulls,CHI,27,55,22368,9511.9,8210.2,3572.6,49,5337.5,2551.5,53.9,2872.7,1021.1,40,1775,1345.6,85.4,4127.1,890.3,3236.7,2165,325.7,705.5,1230.7,1770.5
Orlando Magic,ORL,25,57,22244,9555.8,7938.6,3586.1,50.9,5228.2,2634.9,56.8,2710.4,951.2,39.6,1891.1,1432.4,85.3,3849.8,813.7,3036.1,2165,453.1,699.9,1289.3,1779.5
Dallas Mavericks,DAL,24,58,22317,9455.5,7935.2,3525.3,50,4905.8,2435.4,55.9,3029.4,1089.8,40.6,1724.3,1315.2,86,3812.6,750.6,3062.1,2094,347.1,651.4,1088.7,1777.3
Atlanta Hawks,ATL,24,58,22206,9551.3,7903.7,3527.5,50.3,5036.6,2494.1,55.8,2867.1,1033.5,40.6,1864.1,1462.8,88.5,3869,836.2,3032.8,2192,392.2,719,1388.5,1810
Memphis Grizzlies,MEM,22,60,22205,9179.4,7650.1,3395.7,50,5224.8,2541.4,54.8,2425.3,854.3,39.7,1952,1533.8,88.6,3747.3,879.1,2868.2,1991.4,446.3,692,1335.5,2141.3
Phoenix Suns,PHO,21,61,22207,9604.3,8047.9,3553.4,49.8,5471.6,2693.5,55.4,2576.3,859.9,37.6,2211.2,1637.5,83.5,4077.5,950.1,3127.4,1964.4,415.9,642.4,1393,2036.5
